2026-03-28 20:16:41.486665,BTC/USDT,SELL,66575.72,0.0003
2026-03-28 20:16:41.725349,ETH/USDT,SELL,2005.12,0.01
2026-03-28 20:16:41.972417,SOL/USDT,SELL,82.4,0.2427
2026-03-28 20:16:42.215888,BNB/USDT,SELL,613.1,0.0326
2026-03-28 20:16:42.453000,XRP/USDT,SELL,1.3362,14.9678
2026-03-28 20:17:43.961055,BTC/USDT,SELL,66540.45,0.0003
2026-03-28 20:17:44.208372,ETH/USDT,SELL,2002.85,0.01
2026-03-28 20:17:44.457338,SOL/USDT,SELL,82.34,0.2429
2026-03-28 20:17:44.797163,BNB/USDT,SELL,612.84,0.0326
2026-03-28 20:17:45.038052,XRP/USDT,SELL,1.3354,14.9768
2026-03-28 20:18:46.571004,BTC/USDT,SELL,66545.84,0.0003
2026-03-28 20:18:46.813091,ETH/USDT,SELL,2003.61,0.01
2026-03-28 20:18:47.056309,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:18:47.297640,BNB/USDT,SELL,612.96,0.0326
2026-03-28 20:18:47.538704,XRP/USDT,SELL,1.3358,14.9723
2026-03-28 20:19:49.141875,BTC/USDT,SELL,66574.2,0.0003
2026-03-28 20:19:49.388591,ETH/USDT,SELL,2004.39,0.01
2026-03-28 20:19:49.636391,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:19:50.317647,BNB/USDT,SELL,613.05,0.0326
2026-03-28 20:19:50.560201,XRP/USDT,SELL,1.3357,14.9734
2026-03-28 20:20:52.224616,BTC/USDT,SELL,66586.14,0.0003
2026-03-28 20:20:52.467206,ETH/USDT,SELL,2005.18,0.01
2026-03-28 20:20:52.708762,SOL/USDT,SELL,82.39,0.2427
2026-03-28 20:20:52.957475,BNB/USDT,SELL,613.12,0.0326
2026-03-28 20:20:53.203759,XRP/USDT,SELL,1.3364,14.9656
2026-03-28 20:21:54.722280,BTC/USDT,SELL,66594.64,0.0003
2026-03-28 20:21:54.964313,ETH/USDT,SELL,2005.45,0.01
2026-03-28 20:21:55.214017,SOL/USDT,SELL,82.41,0.2427
2026-03-28 20:21:55.460963,BNB/USDT,SELL,613.12,0.0326
2026-03-28 20:21:55.701886,XRP/USDT,SELL,1.3366,14.9633
2026-03-28 20:22:57.195088,BTC/USDT,SELL,66586.59,0.0003
2026-03-28 20:22:57.465108,ETH/USDT,SELL,2004.91,0.01
2026-03-28 20:22:57.708107,SOL/USDT,SELL,82.37,0.2428
2026-03-28 20:22:57.949923,BNB/USDT,SELL,613.0,0.0326
2026-03-28 20:22:58.189684,XRP/USDT,SELL,1.3366,14.9633
2026-03-28 20:24:00.315812,BTC/USDT,SELL,66560.01,0.0003
2026-03-28 20:24:00.563342,ETH/USDT,SELL,2004.35,0.01
2026-03-28 20:24:00.818988,SOL/USDT,SELL,82.32,0.243
2026-03-28 20:24:01.059437,BNB/USDT,SELL,612.8,0.0326
2026-03-28 20:24:01.303712,XRP/USDT,SELL,1.3362,14.9678
2026-03-28 20:25:02.840521,BTC/USDT,SELL,66540.33,0.0003
2026-03-28 20:25:03.084650,ETH/USDT,SELL,2003.83,0.01
2026-03-28 20:25:03.329121,SOL/USDT,SELL,82.33,0.2429
2026-03-28 20:25:03.570283,BNB/USDT,SELL,612.65,0.0326
2026-03-28 20:25:03.823002,XRP/USDT,SELL,1.3362,14.9678
2026-03-28 20:26:05.313689,BTC/USDT,SELL,66547.36,0.0003
2026-03-28 20:26:05.562535,ETH/USDT,SELL,2004.64,0.01
2026-03-28 20:26:05.800450,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:26:06.040133,BNB/USDT,SELL,612.84,0.0326
2026-03-28 20:26:06.276990,XRP/USDT,SELL,1.3363,14.9667
2026-03-28 20:27:07.776444,BTC/USDT,SELL,66558.53,0.0003
2026-03-28 20:27:08.025088,ETH/USDT,SELL,2004.69,0.01
2026-03-28 20:27:08.266587,SOL/USDT,SELL,82.38,0.2428
2026-03-28 20:27:08.586772,BNB/USDT,SELL,612.87,0.0326
2026-03-28 20:27:08.911440,XRP/USDT,SELL,1.3363,14.9667
2026-03-28 20:28:10.449438,BTC/USDT,SELL,66549.53,0.0003
2026-03-28 20:28:10.701142,ETH/USDT,SELL,2003.86,0.01
2026-03-28 20:28:10.942675,SOL/USDT,SELL,82.36,0.2428
2026-03-28 20:28:11.184377,BNB/USDT,SELL,612.72,0.0326
2026-03-28 20:28:11.426117,XRP/USDT,SELL,1.3363,14.9667
2026-03-28 20:29:13.426835,BTC/USDT,SELL,66533.4,0.0003
2026-03-28 20:29:13.665795,ETH/USDT,SELL,2003.49,0.01
2026-03-28 20:29:13.905214,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:29:14.149763,BNB/USDT,SELL,612.61,0.0326
2026-03-28 20:29:14.392861,XRP/USDT,SELL,1.3358,14.9723
2026-03-28 20:30:15.913869,BTC/USDT,SELL,66549.54,0.0003
2026-03-28 20:30:16.156748,ETH/USDT,SELL,2004.38,0.01
2026-03-28 20:30:16.395738,SOL/USDT,SELL,82.41,0.2427
2026-03-28 20:30:16.641938,BNB/USDT,SELL,612.73,0.0326
2026-03-28 20:30:16.883613,XRP/USDT,SELL,1.3367,14.9622
2026-03-28 20:31:18.380757,BTC/USDT,SELL,66513.29,0.0003
2026-03-28 20:31:18.627216,ETH/USDT,SELL,2002.93,0.01
2026-03-28 20:31:18.870667,SOL/USDT,SELL,82.36,0.2428
2026-03-28 20:31:19.115865,BNB/USDT,SELL,612.44,0.0327
2026-03-28 20:31:19.357539,XRP/USDT,SELL,1.3361,14.9689
2026-03-28 20:32:20.867803,BTC/USDT,SELL,66514.08,0.0003
2026-03-28 20:32:21.119239,ETH/USDT,SELL,2003.22,0.01
2026-03-28 20:32:21.378217,SOL/USDT,SELL,82.37,0.2428
2026-03-28 20:32:21.619254,BNB/USDT,SELL,612.48,0.0327
2026-03-28 20:32:21.861909,XRP/USDT,SELL,1.336,14.9701
2026-03-28 20:33:23.388729,BTC/USDT,SELL,66513.24,0.0003
2026-03-28 20:33:23.648731,ETH/USDT,SELL,2002.55,0.01
2026-03-28 20:33:24.043658,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:33:24.292461,BNB/USDT,SELL,612.42,0.0327
2026-03-28 20:33:24.533014,XRP/USDT,SELL,1.3357,14.9734
2026-03-28 20:34:26.057424,BTC/USDT,SELL,66496.53,0.0003
2026-03-28 20:34:26.497568,ETH/USDT,SELL,2002.59,0.01
2026-03-28 20:34:26.760089,SOL/USDT,SELL,82.35,0.2429
2026-03-28 20:34:27.071207,BNB/USDT,SELL,612.38,0.0327
2026-03-28 20:34:27.320957,XRP/USDT,SELL,1.3356,14.9745
2026-03-28 20:35:28.797984,BTC/USDT,SELL,66496.51,0.0003
2026-03-28 20:35:29.067446,ETH/USDT,SELL,2002.85,0.01
2026-03-28 20:35:29.308595,SOL/USDT,SELL,82.36,0.2428
2026-03-28 20:35:29.557640,BNB/USDT,SELL,612.38,0.0327
2026-03-28 20:35:29.803333,XRP/USDT,SELL,1.3355,14.9757
2026-03-28 20:36:31.293267,BTC/USDT,SELL,66461.22,0.0003
2026-03-28 20:36:31.530744,ETH/USDT,SELL,2002.0,0.01
2026-03-28 20:36:31.773800,SOL/USDT,SELL,82.28,0.2431
2026-03-28 20:36:32.018763,BNB/USDT,SELL,612.01,0.0327
2026-03-28 20:36:32.679917,XRP/USDT,SELL,1.3346,14.9858
2026-03-28 20:37:34.200423,BTC/USDT,SELL,66448.83,0.0003
2026-03-28 20:37:34.442240,ETH/USDT,SELL,2001.64,0.01
2026-03-28 20:37:34.686260,SOL/USDT,SELL,82.25,0.2432
2026-03-28 20:37:34.929141,BNB/USDT,SELL,611.83,0.0327
2026-03-28 20:37:35.164780,XRP/USDT,SELL,1.3344,14.988
2026-03-28 20:38:36.697613,BTC/USDT,SELL,66429.86,0.0003
2026-03-28 20:38:36.948817,ETH/USDT,SELL,2001.29,0.01
2026-03-28 20:38:37.194776,SOL/USDT,SELL,82.23,0.2432
2026-03-28 20:38:37.439545,BNB/USDT,SELL,611.71,0.0327
2026-03-28 20:38:37.677694,XRP/USDT,SELL,1.3339,14.9936
2026-03-28 20:39:39.186759,BTC/USDT,SELL,66390.47,0.0003
2026-03-28 20:39:39.434399,ETH/USDT,SELL,1999.8,0.01
2026-03-28 20:39:39.680462,SOL/USDT,SELL,82.17,0.2434
2026-03-28 20:39:39.921285,BNB/USDT,SELL,611.5,0.0327
2026-03-28 20:39:40.157686,XRP/USDT,SELL,1.3333,15.0004
2026-03-28 20:40:41.719393,BTC/USDT,SELL,66394.57,0.0003
2026-03-28 20:40:41.971771,ETH/USDT,SELL,1999.79,0.01
2026-03-28 20:40:42.237597,SOL/USDT,SELL,82.14,0.2435
2026-03-28 20:40:42.475371,BNB/USDT,SELL,611.39,0.0327
2026-03-28 20:40:42.715041,XRP/USDT,SELL,1.3332,15.0015
2026-03-28 20:41:44.257200,BTC/USDT,SELL,66402.76,0.0003
2026-03-28 20:41:44.508715,ETH/USDT,SELL,1999.45,0.01
2026-03-28 20:41:44.749785,SOL/USDT,SELL,82.11,0.2436
2026-03-28 20:41:45.016338,BNB/USDT,SELL,611.32,0.0327
2026-03-28 20:41:45.281234,XRP/USDT,SELL,1.3332,15.0015
2026-03-28 20:42:46.773504,BTC/USDT,SELL,66440.28,0.0003
2026-03-28 20:42:47.020417,ETH/USDT,SELL,2000.47,0.01
2026-03-28 20:42:47.271378,SOL/USDT,SELL,82.19,0.2433
2026-03-28 20:42:47.536094,BNB/USDT,SELL,611.66,0.0327
2026-03-28 20:42:47.780272,XRP/USDT,SELL,1.3335,14.9981
2026-03-28 20:43:49.727551,BTC/USDT,SELL,66469.3,0.0003
2026-03-28 20:43:49.969865,ETH/USDT,SELL,2001.63,0.01
2026-03-28 20:43:50.212770,SOL/USDT,SELL,82.26,0.2431
2026-03-28 20:43:50.454729,BNB/USDT,SELL,612.14,0.0327
2026-03-28 20:43:50.701837,XRP/USDT,SELL,1.3342,14.9903
2026-03-28 20:44:52.238298,BTC/USDT,SELL,66484.85,0.0003
2026-03-28 20:44:52.483984,ETH/USDT,SELL,2002.33,0.01
2026-03-28 20:44:52.729458,SOL/USDT,SELL,82.34,0.2429
2026-03-28 20:44:52.971912,BNB/USDT,SELL,612.23,0.0327
2026-03-28 20:44:53.218050,XRP/USDT,SELL,1.3348,14.9835
2026-03-28 20:45:54.693838,BTC/USDT,SELL,66477.72,0.0003
2026-03-28 20:45:54.940554,ETH/USDT,SELL,2002.09,0.01
2026-03-28 20:45:55.177660,SOL/USDT,SELL,82.33,0.2429
2026-03-28 20:45:55.449891,BNB/USDT,SELL,612.24,0.0327
2026-03-28 20:45:55.696959,XRP/USDT,SELL,1.3348,14.9835
2026-03-28 20:46:57.185348,BTC/USDT,SELL,66457.67,0.0003
2026-03-28 20:46:57.426547,ETH/USDT,SELL,2001.37,0.01
2026-03-28 20:46:57.665572,SOL/USDT,SELL,82.29,0.243
2026-03-28 20:46:57.916894,BNB/USDT,SELL,612.06,0.0327
2026-03-28 20:46:58.163758,XRP/USDT,SELL,1.3343,14.9891
2026-03-28 20:47:59.665958,BTC/USDT,SELL,66432.78,0.0003
2026-03-28 20:47:59.925959,ETH/USDT,SELL,2000.64,0.01
2026-03-28 20:48:00.168492,SOL/USDT,SELL,82.22,0.2432
2026-03-28 20:48:00.411312,BNB/USDT,SELL,611.9,0.0327
2026-03-28 20:48:00.657750,XRP/USDT,SELL,1.3334,14.9993
2026-03-28 20:49:02.141168,BTC/USDT,SELL,66447.74,0.0003
2026-03-28 20:49:02.407962,ETH/USDT,SELL,2000.99,0.01
2026-03-28 20:49:02.671886,SOL/USDT,SELL,82.24,0.2432
2026-03-28 20:49:02.921303,BNB/USDT,SELL,612.05,0.0327
2026-03-28 20:49:03.162268,XRP/USDT,SELL,1.3338,14.9948
2026-03-28 20:50:04.706123,BTC/USDT,SELL,66499.58,0.0003
2026-03-28 20:50:04.947650,ETH/USDT,SELL,2002.75,0.01
2026-03-28 20:50:05.196018,SOL/USDT,SELL,82.34,0.2429
2026-03-28 20:50:05.449640,BNB/USDT,SELL,612.35,0.0327
2026-03-28 20:50:05.687345,XRP/USDT,SELL,1.3347,14.9846
2026-03-28 20:51:07.213759,BTC/USDT,SELL,66536.0,0.0003
2026-03-28 20:51:07.461860,ETH/USDT,SELL,2004.1,0.01
2026-03-28 20:51:07.718279,SOL/USDT,SELL,82.42,0.2427
2026-03-28 20:51:07.962563,BNB/USDT,SELL,612.7,0.0326
2026-03-28 20:51:08.203446,XRP/USDT,SELL,1.3355,14.9757
2026-03-28 20:52:09.705713,BTC/USDT,SELL,66572.77,0.0003
